nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0320761	Etienne Girardot	1856	1939	actor,soundtrack	tt0024210,tt0027656,tt0025069,tt0027214
nm0321668	Lyudmila Gladysheva	\N	\N	actress	tt0174025
nm0324134	Adam Godley	\N	\N	actor,archive_footage	tt2235759,tt1632701,tt0903747,tt1312171
nm0324263	Steve Godwin	\N	\N	miscellaneous,assistant_director,actor	tt2012587,tt0327375,tt0113033,tt0221728
nm0324813	Gabriel Goity	1959	\N	actor,archive_footage	tt0397189,tt1280534,tt28769440,tt0316613
nm0326438	Manuel Thomas Golemis	\N	\N	actor	\N
nm0326505	Sveinung Golimo	1975	\N	producer,miscellaneous,production_manager	tt1029235,tt1740707,tt3102440,tt0469443
nm0326926	Manoel Gomes	\N	\N	actor	tt0140888,tt1579223,tt4725820,tt8137384
nm0327385	Sam Gonshak	\N	\N	\N	tt0099598
nm0327809	Emilio Gonzalo	\N	\N	\N	\N
nm0328108	Cristina González	\N	\N	editorial_department	tt0117069,tt0269043,tt0284991,tt0267490
nm0328825	Lucy Goode	\N	\N	actress	tt0086271
nm0330215	Gigi Gordon	1957	2012	miscellaneous	tt0118971,tt0117831
nm0330804	Sergey Goremykin	\N	\N	actor	tt0087043,tt0064720,tt0081271,tt0175009
