tconst	ordering	nconst	category	job	characters
tt0671893	7	nm0695111	director	\N	\N
tt0673226	11	nm0382529	director	\N	\N
tt0673639	11	nm0189075	director	\N	\N
tt0674814	11	nm0077684	director	\N	\N
tt0678026	11	nm0818639	director	\N	\N
tt0678813	11	nm0012516	director	\N	\N
tt0681147	12	nm0505420	director	\N	\N
tt0681993	11	nm0498780	director	\N	\N
tt0684250	8	nm0252046	director	\N	\N
tt0684955	7	nm0131968	director	supervising director	\N
tt0686620	11	nm0507390	director	\N	\N
tt0686644	11	nm0020765	director	\N	\N
tt0687238	11	nm0296501	director	director	\N
tt0688423	11	nm0417054	director	\N	\N
tt0689158	6	nm0286601	director	\N	\N
tt0691654	8	nm4928985	director	\N	\N
tt0693089	11	nm0119997	director	\N	\N
tt0693377	12	nm0766218	director	director	\N
tt0694744	12	nm0565063	director	director	\N
tt0695067	11	nm2736117	director	\N	\N
tt0695678	7	nm0456087	director	\N	\N
tt0695948	10	nm0783116	director	\N	\N
tt0696115	11	nm0440505	director	\N	\N
tt0698938	11	nm0528001	director	director	\N
tt0699224	11	nm0742819	director	\N	\N
tt0699924	8	nm0419282	director	\N	\N
tt0702545	7	nm0569708	director	\N	\N
tt0702968	11	nm0788610	director	\N	\N
tt0703246	7	nm1115454	director	\N	\N
tt0703331	11	nm0664515	director	\N	\N
tt0703435	11	nm0469803	director	\N	\N
tt0704251	11	nm0731489	director	\N	\N
tt0704689	11	nm0141291	director	\N	\N
tt0705236	11	nm0002339	director	\N	\N
tt0705668	5	nm0008956	director	\N	\N
tt0706150	5	nm0201328	director	director	\N
tt0711186	11	nm0319589	director	\N	\N
tt0711767	11	nm0006828	director	director	\N
tt0718527	10	nm0123273	director	\N	\N
tt0719883	10	nm0448915	director	\N	\N
tt0721116	6	nm0725880	director	\N	\N
tt0726188	12	nm0072561	director	\N	\N
tt0728373	7	nm0113512	director	\N	\N
tt0729082	8	nm0129828	director	segment director	\N
tt0731667	2	nm0218039	director	\N	\N
tt0734646	10	nm0776838	director	director	\N
tt0736806	13	nm1006404	director	supervising director	\N
tt0738938	10	nm0832573	director	\N	\N
tt0742445	11	nm0346828	director	\N	\N
tt0747086	15	nm1245812	director	\N	\N
tt0747256	11	nm0035840	director	\N	\N
tt0747847	11	nm0236930	director	\N	\N
tt0751317	9	nm0588355	director	director	\N
tt0752514	11	nm0219370	director	\N	\N
tt0753165	11	nm0240154	director	\N	\N
tt0754112	11	nm0700158	director	\N	\N
tt0755537	11	nm0124079	director	\N	\N
tt0756897	9	nm0721959	director	\N	\N
tt0757686	12	nm1129833	director	\N	\N
tt0757860	3	nm1028275	director	\N	\N
tt0757955	2	nm2127312	director	\N	\N
tt0758135	7	nm0649524	director	\N	\N
tt0758255	12	nm0054677	director	\N	\N
tt0758271	11	nm0773108	director	\N	\N
tt0760013	11	nm0418986	director	\N	\N
tt0763074	11	nm0888505	director	\N	\N
tt0763168	11	nm0485637	director	\N	\N
tt0764184	12	nm1129833	director	\N	\N
tt0768917	2	nm0726386	director	director	\N
tt0769298	11	nm0015091	director	\N	\N
tt0770243	1	nm2177791	director	\N	\N
tt0773418	3	nm0444416	director	\N	\N
tt0774206	11	nm0420352	director	\N	\N
tt0774611	5	nm1306361	director	\N	\N
tt0777260	8	nm2126878	director	\N	\N
tt0779196	11	nm0340742	director	\N	\N
tt0779474	11	nm0771673	director	\N	\N
tt0780879	7	nm2076645	director	\N	\N
tt0781945	3	nm2054297	director	\N	\N
tt0783294	5	nm1147848	director	\N	\N
tt0783603	1	nm1337524	director	\N	\N
tt0784336	20	nm0296586	director	director	\N
tt0784804	1	nm0059554	director	\N	\N
tt0786917	11	nm0271485	director	\N	\N
tt0788546	11	nm0155117	director	director	\N
tt0791029	11	nm1786341	director	\N	\N
tt0791152	11	nm0825379	director	director	\N
tt0791156	9	nm0576499	director	\N	\N
tt0792086	11	nm0859707	director	\N	\N
tt0793164	6	nm0178079	director	\N	\N
tt0793300	16	nm0396860	director	\N	\N
tt0793825	11	nm0663271	director	\N	\N
tt0794190	1	nm0029082	director	\N	\N
tt0794226	11	nm0024063	director	\N	\N
tt0796635	12	nm1757001	director	director	\N
tt0797000	1	nm0692939	director	\N	\N
tt0797002	3	nm0554556	director	\N	\N
tt0797373	11	nm1314913	director	director	\N
tt0797920	4	nm0897085	director	\N	\N
tt0798260	11	nm0057959	director	\N	\N
tt0802620	11	nm0750383	director	\N	\N
tt0804006	11	nm0436784	director	\N	\N
tt0804365	9	nm0653200	director	\N	\N
tt0805515	14	nm2263643	director	director	\N
tt0805675	12	nm0482475	director	\N	\N
tt0806072	3	nm0990930	director	\N	\N
tt0806982	3	nm1392743	director	\N	\N
tt0808845	17	nm0456443	director	\N	\N
tt0809706	11	nm0795095	director	\N	\N
tt0810144	9	nm0357855	director	\N	\N
tt0810389	11	nm0335780	director	\N	\N
tt0810565	11	nm0554199	director	\N	\N
tt0810997	8	nm0811109	director	\N	\N
tt0811309	11	nm0554199	director	\N	\N
tt0813297	11	nm0339093	director	\N	\N
tt0815167	1	nm1844080	director	\N	\N
tt0815305	11	nm0220240	director	\N	\N
tt0817370	11	nm0809375	director	\N	\N
